Месяц,MAE,Макс_Ошибка,Среднее_TNav,Среднее_PSS
147,13.1522,31.7936,207.5976,195.0596
148,13.2237,31.659,207.5364,194.9181
149,13.2968,31.5238,207.4772,194.7768
150,13.3681,31.3894,207.4162,194.6357
151,13.4412,31.2543,207.3572,194.4949
152,13.5125,31.1199,207.2963,194.3542
153,13.5839,30.9856,207.2356,194.2138
154,13.6571,30.8507,207.1768,194.0735
155,13.7284,30.7165,207.1162,193.9335
156,13.8014,30.5816,207.0577,193.7937
157,13.8726,30.4476,206.9972,193.6541
158,13.9438,30.3135,206.9369,193.5147
159,14.0203,30.1776,206.8825,193.3755
160,14.0915,30.0437,206.8223,193.2365
161,14.1644,29.9092,206.7642,193.0977
162,14.2354,29.7754,206.7042,192.9591
163,14.3083,29.6411,206.6462,192.8208
164,14.3795,29.5075,206.5864,192.6826
165,14.4506,29.3739,206.5266,192.5446
166,14.5236,29.2398,206.4689,192.4069
167,14.5948,29.1064,206.4093,192.2693
168,14.6677,28.9724,206.3518,192.132
169,14.7388,28.8392,206.2924,191.9948
170,14.8099,28.7056,206.2331,191.8579
171,14.8859,28.5667,206.1796,191.7214
172,14.9565,28.4299,206.1204,191.5852
173,15.0288,28.2927,206.0632,191.4492
174,15.0992,28.1563,206.0043,191.3136
175,15.1713,28.0194,205.9473,191.1782
176,15.2414,27.8834,205.8884,191.0431
177,15.3114,27.7475,205.8297,190.9083
178,15.3832,27.6112,205.7729,190.7737
179,15.453,27.4756,205.7144,190.6394
180,15.5245,27.3397,205.6578,190.5054
181,15.5942,27.2045,205.5994,190.3717
182,15.6639,27.0696,205.541,190.2383
183,15.737,26.9336,205.4865,190.1051
184,15.8068,26.7917,205.4284,189.9716
185,15.8784,26.645,205.3721,189.8381
186,15.9481,26.4992,205.3141,189.705
187,16.0194,26.353,205.2581,189.5722
188,16.0888,26.2077,205.2002,189.4398
189,16.1579,26.0627,205.1425,189.3077
190,16.2287,25.9174,205.0866,189.176
191,16.2975,25.7729,205.029,189.0447
192,16.3679,25.6281,204.9733,188.9137
193,16.4362,25.4842,204.9159,188.7831
194,16.5043,25.4924,204.8585,188.6528
195,16.5775,25.5642,204.8068,188.5229
196,16.6452,25.6332,204.7495,188.3933
197,16.7144,25.7026,204.6942,188.2641
198,16.7816,25.7709,204.6372,188.1352
199,16.8504,25.8396,204.582,188.0067
200,16.9173,25.9071,204.5251,187.8785
201,16.9839,25.9742,204.4683,187.7506
202,17.052,26.0418,204.4133,187.6231
203,17.1182,26.1082,204.3567,187.496
204,17.186,26.1751,204.3019,187.3692
205,17.2518,26.2408,204.2454,187.2427
206,17.3174,26.3061,204.1889,187.1166
207,17.3879,26.3735,204.138,186.9908
208,17.4533,26.4391,204.0817,186.865
209,17.5209,26.508,204.0273,186.7388
210,17.5864,26.5757,203.9711,186.6129
211,17.6534,26.6437,203.9168,186.4875
212,17.7183,26.7476,203.8608,186.3625
213,17.7829,26.8663,203.8049,186.2379
214,17.849,26.9855,203.7508,186.1137
215,17.9132,27.1031,203.6951,185.9899
216,17.9788,27.2212,203.6412,185.8665
217,18.0424,27.3377,203.5855,185.7435
218,18.1058,27.4623,203.53,185.6209
219,18.1743,27.5895,203.4799,185.4987
220,18.2372,27.7139,203.4244,185.3769
221,18.3017,27.8385,203.3709,185.2555
222,18.3641,27.9617,203.3156,185.1345
223,18.4281,28.0851,203.2622,185.0139
224,18.49,28.2072,203.2071,184.8936
225,18.5517,28.33,203.152,184.7738
226,18.6152,28.4567,203.0988,184.6545
227,18.6764,28.5819,203.0439,184.5357
228,18.739,28.7071,202.9909,184.4175
229,18.7995,28.8261,202.9361,184.2997
230,18.8595,28.9358,202.8814,184.1823
231,18.9226,29.0462,202.8303,184.0656
232,18.9816,29.1542,202.7758,183.9494
233,19.0419,29.2622,202.7231,183.8339
234,19.1,29.3686,202.6686,183.719
235,19.1593,29.475,202.6161,183.6046
236,19.2165,29.5797,202.5618,183.4909
237,19.2731,29.6873,202.5076,183.378
238,19.3305,29.8084,202.4552,183.2665
239,19.3856,29.9277,202.4012,183.1557
240,19.4417,30.0468,202.3489,183.0457
241,19.4954,30.1639,202.295,182.9365
242,19.5485,30.28,202.2412,182.828
243,19.606,30.3977,202.1926,182.7202
244,19.6578,30.5117,202.1389,182.6132
245,19.7107,30.6255,202.087,182.5069
246,19.7612,30.7375,202.0335,182.4013
247,19.8128,30.8493,201.9817,182.2964
248,19.862,30.9592,201.9283,182.1923
249,19.9107,31.0681,201.8749,182.0888
250,19.9604,31.1769,201.8233,181.9861
251,20.0078,31.2838,201.7701,181.884
252,20.0563,31.3906,201.7187,181.7827
253,20.1025,31.4956,201.6656,181.682
254,20.1482,31.5995,201.6126,181.582
255,20.1982,31.7052,201.5647,181.4827
256,20.2427,31.8124,201.5119,181.3841
257,20.2882,31.9211,201.4607,181.2861
258,20.3315,32.0281,201.408,181.1888
259,20.3759,32.1348,201.357,181.0922
260,20.418,32.2398,201.3044,180.9962
261,20.4596,32.3438,201.2519,180.9008
262,20.5024,32.4476,201.2011,180.8061
263,20.5429,32.5497,201.1487,180.7121
264,20.5845,32.6516,201.098,180.6187
265,20.6239,32.7517,201.0457,180.5259
266,20.6627,32.8509,200.9935,180.4337
267,20.7061,32.9518,200.9464,180.3422
268,20.7439,33.0491,200.8943,180.2513
269,20.7828,33.1464,200.844,180.161
270,20.8196,33.2419,200.792,180.0713
271,20.8575,33.3373,200.7418,179.9823
272,20.8932,33.431,200.69,179.8938
273,20.9283,33.5237,200.6383,179.8059
274,20.9647,33.6164,200.5882,179.7187
275,20.9988,33.7074,200.5366,179.632
276,21.0345,33.8025,200.4867,179.5457
277,21.0686,33.903,200.4352,179.4599
278,21.1021,34.0025,200.3838,179.3747
279,21.1382,34.1026,200.3358,179.2902
280,21.1704,34.1998,200.2845,179.2064
281,21.2037,34.2968,200.2349,179.1233
282,21.2347,34.3918,200.1837,179.0409
283,21.2667,34.4866,200.1342,178.9592
284,21.2965,34.5795,200.0832,178.8781
285,21.3257,34.6713,200.0322,178.7977
